Cidade,Latitude,Longitude
SAO PAULO/SP, -23.5553, -46.6121
CUBATAO/SP, -23.8916, -46.4240
SANTOS/SP,-23.9608,-46.3336
SAO VICENTE/SP,-23.9631,-46.3919
PRAIA GRANDE/SP,-24.0058,-46.4028
MONGAGUA/SP,-24.0948,-46.6208
ITANHAEM/SP,-24.1856,-46.7889
PERUIBE/SP,-24.3129,-47.0012
ITARIRI/SP,-24.2892,-47.1744
PEDRO DE TOLEDO/SP,-24.2747,-47.2328
MIRACATU/SP,-24.2814,-47.4625
JUQUIA/SP,-24.3208,-47.6347
REGISTRO/SP,-24.4971,-47.8449
JACUPIRANGA/SP,-24.6925,-48.0022
CAJATI/SP,-24.7358,-48.1228
CURITIBA/PR, -25.430549900274354, -49.26646496726389
