Cidade,Estado,endereco,valor_movimentado_2025,valor_movimentado_2026,valor_movimentado_total,latitude,longitude,empregos_agropecuaria,empregos_industria,empregos_construção,empregos_comercio,empregos_servicos,total_empregos
São Paulo,SP,"São Paulo, SP",16137023328,6187804950,22324828278,-23.5557714,-46.6395571,2.494,364.932,330.735,899.07,3.800.000,5.397.235
Santos,SP,"Santos, SP",10449487403,3115869855,13565357258,-23.9592201,-46.3317787,287.0,10.116,8.924,30.993,163.822,214.142
São Bernardo do Campo,SP,"São Bernardo do Campo, SP",7154053339,1973179287,9127232626,-23.7018047,-46.5536333,91.0,70.817,11.373,53.559,163.410,299.252
São José dos Campos,SP,"São José dos Campos, SP",7167436290,1807022410,8974458700,-23.2198396,-45.8915658,612.0,40.632,13.793,45.532,127.822,228.391
Paulínia,SP,"Paulínia, SP",7067169721,1705689346,8772859067,-22.7410508,-47.1743005,195.0,13.754,11.839,9.155,26.911,61.854
Piracicaba,SP,"Piracicaba, SP",6135950708,1971182185,8107132893,-22.7344425,-47.64803149999999,1.784,43.889,7.612,33.472,72.732,159.489
Sorocaba,SP,"Sorocaba, SP",6152787905,1904227271,8057015176,-23.470905,-47.4851488,331.0,63.538,11.566,52.491,127.960,255.886
Jundiaí,SP,"Jundiaí, SP",5256279503,1831268386,7087547889,-23.1856528,-46.8892222,451.0,52.792,8.082,38.869,107.138,207.332
Guarulhos,SP,"Guarulhos, SP",5201286919,1855381484,7056668403,-23.4596858,-46.5328559,77.0,101.591,14.586,89.111,238.773,444.138
Campinas,SP,"Campinas, SP",4570082550,1605104643,6175187193,-22.9050824,-47.0613327,1.66,48.535,27.248,92.558,310.387,480.388
Barueri,SP,"Barueri, SP",2709523302,1050272741,3759796043,-23.5035038,-46.8785555,108.0,30.035,15.356,52.898,303.688,402.085
São Sebastião,SP,"São Sebastião, SP",2626712672,879060819,3505773491,-23.8010738,-45.402604,13.0,506.0,1.163,4.652,18.467,24.801
Taubaté,SP,"Taubaté, SP",2658421008,628395698,3286816706,-23.024996,-45.5638792,579.0,20.53,3.316,18.705,56.313,99.443
Indaiatuba,SP,"Indaiatuba, SP",2349154771,858311024,3207465795,-23.0882014,-47.2079588,717.0,31.343,4.748,17.912,42.873,97.593
Gavião Peixoto,SP,"Gavião Peixoto, SP",2424562844,774873065,3199435909,-21.8357036,-48.4930404,890.0,3.329,11.0,72.0,656,4.958
Pindamonhangaba,SP,"Pindamonhangaba, SP",1891699964,766766638,2658466602,-22.9263912,-45.4620449,795.0,12.008,1.447,7.473,20.554,42.277
